survey_id,issue_question_id,original_question_id,issue_label,question_wording,question_coding,question_recoded,survey_id_main,source
bridge_clean.csv,bri_econ_001,addt_econ_02,Free trade US good for econ,"Overall, free trade with the U.S. has been good for the Canadian economy.","""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"9999"""" = """"Don't know""""",,bridge_clean.csv,2026 Bridge Survey
cora-efc1986-E-1986-4_F1.dta,bri_econ_002,q35a,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"strongly agree"""", """"2"""" = """"somewhat agree"""", """"3"""" = """"somewhat disagree"""", """"4"""" = """"strongly disagree"""", """"9"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc1986-E-1986-4_F1.dta,Environics
cora-efc1990-E-1990-4_F1.dta,bri_econ_002,q14,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"strongly agree"""", """"2"""" = """"somewhat agree"""", """"3"""" = """"somewhat disagree"""", """"4"""" = """"strongly disagree"""", """"5"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc1990-E-1990-4_F1.dta,Environics
cora-efc1991-E-1991-4_F1.dta,bri_econ_002,q69a,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"5"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc1991-E-1991-4_F1.dta,Environics
cora-efc1994-E-1994-4_F1.dta,bri_econ_002,q9a,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"5"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc1994-E-1994-4_F1.dta,Environics
cora-efc1998-E-1998-4_F1.dta,bri_econ_002,q7,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"5"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc1998-E-1998-4_F1.dta,Environics
cora-efc2006-E-2006-3_F1.dta,bri_econ_002,q11,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"9"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc2006-E-2006-3_F1.dta,Environics
cora-efc2008-E-2008-3_F1.dta,bri_econ_002,q10,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"99"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc2008-E-2008-3_F1.dta,Environics
cora-efc2010-E-2010_F1.dta,bri_econ_002,q12,Reduce rich-poor gap,Agree/disagree: The government should reduce the income gap between the rich and the poor,"""""1"""" = """"Strongly agree"""", """"2"""" = """"Somewhat agree"""", """"3"""" = """"Somewhat disagree"""", """"4"""" = """"Strongly disagree"""", """"99"""" = """"DK/NA""""",1=1; 2=1; 3=0; 4=0; 5=9999; 9=9999; 99=9999  [0/1],cora-efc2010-E-2010_F1.dta,Environics
2000.dta,bri_econ_002,cpsc13,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"much more"""", """"2"""" = """"somewhat more"""", """"3"""" = """"about the same as now"""", """"4"""" = """"somewhat less"""", """"5"""" = """"much less"""", """"8"""" = """"don't know"""", """"9"""" = """"refused""""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=99; 9=NA  [-1/0/1],2000.dta,Canadian Election Study
2004-2006-2008.dta,bri_econ_002,ces04_cps_f6,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"much more"""", """"2"""" = """"somewhat more"""", """"3"""" = """"about the same as now"""", """"4"""" = """"somewhat less"""", """"5"""" = """"much less"""", """"8"""" = """"don't know"""", """"9"""" = """"refused""""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=99; 9=NA  [-1/0/1],2004.dta,Canadian Election Study
2004-2006-2008.dta,bri_econ_002,ces06_cps_f6,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"much more"""", """"2"""" = """"somewhat more"""", """"3"""" = """"about the same as now"""", """"4"""" = """"somewhat less"""", """"5"""" = """"much less"""", """"8"""" = """"don't know"""", """"9"""" = """"refused""""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=99; 9=NA  [-1/0/1],2006.dta,Canadian Election Study
2004-2006-2008.dta,bri_econ_002,ces08_pes_f6,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"much more"""", """"2"""" = """"somewhat more"""", """"3"""" = """"about the same as now"""", """"4"""" = """"somewhat less"""", """"5"""" = """"much less"""", """"8"""" = """"don't know"""", """"9"""" = """"refused""""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=99; 9=NA  [-1/0/1],2008.dta,Canadian Election Study
2011.dta,bri_econ_002,PES11_41,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"Much more"""", """"2"""" = """"Somewhat more"""", """"3"""" = """"About the same as now"""", """"4"""" = """"Somewhat less"""", """"5"""" = """"Much less"""", """"7"""" = """"R volunteers: Everyone should be treated the same"""", """"8"""" = """"Don't know"""", """"9"""" = """"Refused""""",1:2=1; 3=0; 4:5=-1; 7=99; 8=99; 9=NA  [-1/0/1],2011.dta,Canadian Election Study
2015.dta,bri_econ_002,p_gap,Reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,"""""1"""" = """"Much more"""", """"2"""" = """"Somewhat more"""", """"3"""" = """"About the same as now"""", """"4"""" = """"Somewhat less"""", """"5"""" = """"Much less"""", """"7"""" = """"R volunteers everyone should be treated the same"""", """"8"""" = """"Don't know"""", """"9"""" = """"Refused""""",1:2=1; 3=0; 4:5=-1; 7=99; 8=99; 9=NA; 1000=NA  [-1/0/1],2015.dta,Canadian Election Study
